field_name,description,allowed_values_or_format,requirement_mapping
record_id,Unique record identifier,categorical/text/integer,Operational identifier
patient_code,Patient-level coded identifier,categorical/text/integer,Operational identifier
consent_obtained,Whether consent was obtained before recording information,Yes; No,9. Privacy Rule
minimal_data_scope,Scope of collected information,categorical/text/integer,9. Privacy Rule
age_years,Age in completed years,categorical/text/integer,1. Basic Maternal Profile Data
age_group,Grouped age category,<20; 20-35; 35+,1. Basic Maternal Profile Data
maternal_stage,Pregnancy or postpartum stage,Pregnancy; Postpartum,1. Basic Maternal Profile Data
pregnancy_stage,Trimester or completed status,First trimester; Second trimester; Third trimester; Completed,1. Basic Maternal Profile Data
gestational_week,Pregnancy week or delivery week when known,10-42 or blank,1. Basic Maternal Profile Data
postpartum_day,Day after delivery; 0 means not postpartum,0-42 or blank,1. Basic Maternal Profile Data
delivery_type,Delivery type,categorical/text/integer,1. Basic Maternal Profile Data
previous_complications,Prior complication history,categorical/text/integer,1. Basic Maternal Profile Data
parity,Number of previous births,categorical/text/integer,1. Basic Maternal Profile Data
diabetes,Diabetes flag,Yes; No,1. Basic Maternal Profile Data
high_blood_pressure,High blood pressure flag,Yes; No,1. Basic Maternal Profile Data
fever,Fever symptom flag,Yes; No,2. Symptom Data
body_temperature_c,Body temperature in Celsius,35.8-40.6,2. Symptom Data
heavy_bleeding,Heavy bleeding symptom flag,Yes; No,2. Symptom Data
severe_headache,Severe headache symptom flag,Yes; No,2. Symptom Data
swelling_face_hands_feet,Swelling symptom flag,Yes; No,2. Symptom Data
abdomen_or_incision_pain,Abdominal or incision pain symptom flag,Yes; No,2. Symptom Data
pain_location,Main pain location,categorical/text/integer,2. Symptom Data
pain_severity,Pain severity category,None; Mild; Moderate; Severe,2. Symptom Data
weakness_or_dizziness,Weakness or dizziness symptom flag,Yes; No,2. Symptom Data
foul_smelling_discharge,Foul-smelling discharge symptom flag,Yes; No,2. Symptom Data
breast_pain,Breast pain symptom flag,Yes; No,2. Symptom Data
mental_distress,"Sadness, anxiety, or distress flag",Yes; No,2. Symptom Data
overall_symptom_severity,Overall severity category,None; Mild; Moderate; Severe,2. Symptom Data
symptom_duration,Whether symptoms are new or ongoing,categorical/text/integer,2. Symptom Data
symptom_duration_days,Approximate symptom duration in days,categorical/text/integer,2. Symptom Data
last_checkin_date,Most recent check-in date,categorical/text/integer,3. Timeline / Follow-up Data
missed_checkins,Number of missed scheduled check-ins,categorical/text/integer,3. Timeline / Follow-up Data
symptom_trend,Trend from previous check-in,categorical/text/integer,3. Timeline / Follow-up Data
previous_risk_level,Previous risk category,Low; Medium; High,3. Timeline / Follow-up Data
previous_risk_score,Previous score for continuity comparison,0-100,3. Timeline / Follow-up Data
referral_status,Referral and clinic visit status,categorical/text/integer,3. Timeline / Follow-up Data
clinic_visit_completed,Whether referral resulted in a clinic visit,Yes; No,3. Timeline / Follow-up Data
followup_due_days,Suggested follow-up interval,numeric,3. Timeline / Follow-up Data
district,District-level location,categorical/text/integer,4. Care Access & Context Data
area,Area-level location,categorical/text/integer,4. Care Access & Context Data
distance_to_nearest_clinic_km,Approximate distance to nearest clinic,numeric,4. Care Access & Context Data
estimated_travel_time_min,Approximate travel time to clinic,numeric,4. Care Access & Context Data
transport_available,Transport availability,Yes; No,4. Care Access & Context Data
caregiver_available,Caregiver availability,Yes; No,4. Care Access & Context Data
caregiver_contact_token,Coded caregiver contact token,categorical/text/integer,5. Health Worker / Caregiver Data
assigned_health_worker_id,Assigned health worker identifier,categorical/text/integer,5. Health Worker / Caregiver Data
health_worker_role,Assigned worker role,categorical/text/integer,5. Health Worker / Caregiver Data
health_worker_response_status,Latest worker response availability,categorical/text/integer,5. Health Worker / Caregiver Data
response_time_minutes,Approximate response time,numeric,Operational identifier
symptom_combination_count,Count of active symptom flags,categorical/text/integer,7. Risk Scoring Features
severity_numeric,Numeric severity mapping,categorical/text/integer,7. Risk Scoring Features
access_barrier_score,"Access barrier count using transport, caregiver, and distance",categorical/text/integer,7. Risk Scoring Features
risk_score,Rule-informed score from 0 to 100,0-100,7. Risk Scoring Features
risk_level,"Low, Medium, or High risk category",Low; Medium; High,7. Risk Scoring Features
risk_reason,Main reason supporting the assigned risk category,categorical/text/integer,7. Risk Scoring Features
emergency_alert_needed,Whether an emergency alert should be triggered,Yes; No,8. Emergency / Alert Data
